Name	Place	Phone Number 	Sanctioned bed 	Rural/Urban 	email-id 	District	Type	
DH Peroorkada	Peroorkada,TVPM 	0471-2432071 	337	U 	dmhperoorkada@gmail.com 	Thiruvananthapuram 	District Hospital	DH
DH Nedumangad	Nedumangad,TVPM 	0472-2802262 	225	U 	thqhndd@gmail.com 	Thiruvananthapuram 	District Hospital	DH
DH Kollam 	Kollam 	0474-2742004 	537	U 	dhkollam@gmail.com 	Kollam 	District Hospital	DH
DH Kozhenchery	Kozhenchery, PTA 	0468-2214108 	234	R 	dhkpta@gmail.com 	Pathanamthitta 	District Hospital	DH
DH Mavelikkara	Mavelikkara,ALPY 	0479-2303394 	347	U 	thqhmvkra@gmail.com 	Alappuzha 	District Hospital	DH
DH Chenganoor	Chenganoor,Alpy 	0479-2452267 	140	U 	thqhchengannur@gmail.com 	Alappuzha 	District Hospital	DH
DH Painvu	Painvu, IDK 	04862-232474 	130	R 	dhidukki@gmail.com 	Idukki	District Hospital	DH
DH Thodupuzha	Thodupuzha,Idk 	04862-222630 	144	U 	supdtthqhtdpa@gmail.com 	Idukki	District Hospital	DH
DH Aluva	Aluva,EKM 	0484-2629242 	217	U 	talukhospitalaluva@gmail.com 	Ernakulam 	District Hospital	DH
DH Wadakkancery	Wadakkancery,TSR 	04884-235214 	117	U 	thqhwky@yahoo.com,thqhwky@gmail.com 	Thrissur 	District Hospital	DH
DH Palakkad 	Palakkad 	0491-2533327 	544	U 	districthospitalpkd@gmail.com 	Palakkad	District Hospital	DH
DH Thirur	Thirur, MLPM 	0494-2423834 	164	U 	ghtirur@gmail.com 	Malappuram	District Hospital	DH
DH Perinthalmanna	Perinthalmanna,MLPM 	04933-228279 	177	U 	thqhperinthalmanna@gmail.com 	Malappuram	District Hospital	DH
DH Nilamboor	Nilamboor, MLPM 	04931-220351 	142	U 	mothqhnilambur@gmail.com 	Malappuram	District Hospital	DH
DH Vadakara	Vadakara, KKD 	0496-2524259 	210	U 	thqhvatakara@gmail.com 	Kozhikode 	District Hospital	DH
DH Mananthavady	Mananthavady, WYND 	04935-240265 	500	U 	supd.dhmtdy@gmail.com 	Wayanad	District Hospital	DH
DH Kannur 	Kannur 	04972-731234 	616	U 	dhkannur@yahoo.co.in 	Kannur	District Hospital	DH
DH Kanhangad	Kanhangad, KSGD 	0467-2217018 	400	U 	knghospital@gmail.com 	Kasaragod 	District Hospital	DH
THH Chirayinkeezhu 	Chirayinkeezhu 	0470-2646565 	243	R 	thqhckl@gmail.com 	Thiruvananthapuram 	Taluk Headquarters Hospital	THH
THH Parassala 	Parassala 	0471-2202266 	119	R 	supt.thparassala@gmail.com 	Thiruvananthapuram 	Taluk Headquarters Hospital	THH
THH Malayinkeezhu 	Malayinkeezhu 	0471-2282490 	58	R 	thmkyl@gmail.com 	Thiruvananthapuram 	Taluk Headquarters Hospital	THH
THH Kottarakara 	Kottarakara 	0474-2452610 	217	U 	thqhktr@gmail.com 	Kollam 	Taluk Headquarters Hospital	THH
THH Sasthamcotta 	Sasthamcotta 	0476-2831899 	140	R 	thqhsasthamcotta@gmail.com 	Kollam 	Taluk Headquarters Hospital	THH
THH Punalur 	Punalur 	0475-2228702 	144	U 	thqhpunalur@gmail.com 	Kollam 	Taluk Headquarters Hospital	THH
THH Karunagapally 	Karunagapally 	0476-2620256 	190	U 	thqhkarunagappally@yahoo.com 	Kollam 	Taluk Headquarters Hospital	THH
THH Pathanapuram 	Pathanapuram 	0475-2352696 	12	R 	mochcptpm@yahoo.in 	Kollam 	Taluk Headquarters Hospital	THH
THH Thiruvalla 	Thiruvalla 	0469-2602494 	173	U 	thqhtvl@gmail.com 	Pathanamthitta 	Taluk Headquarters Hospital	THH
THH M.C. Cheriyan Memmorial	M.C. Cheriyan Memmorial, Ranni 	04735-227274 	105	R 	thqhranni@gmail.com 	Pathanamthitta 	Taluk Headquarters Hospital	THH
THH Konni 	Konni 	0468-2243469 	24	R 	chckonni@gmail.com 	Pathanamthitta 	Taluk Headquarters Hospital	THH
THH Mallappally 	Mallappally 	0469-2683084 	128	R 	thospitalmallappally@gmail.com 	Pathanamthitta 	Taluk Headquarters Hospital	THH
THH Cherthala 	Cherthala 	0478-2812693 	251	U 	thqhcherthala@yahoo.com 	Alappuzha 	Taluk Headquarters Hospital	THH
THH Pulinkunnu 	Pulinkunnu 	0477-2702355 	106	R 	pulincunnuthqh@gmail.com 	Alappuzha 	Taluk Headquarters Hospital	THH
THH Harippad 	Harippad 	0479-2412765 	150	U 	thqhhharipad@gmail.com 	Alappuzha 	Taluk Headquarters Hospital	THH
THH Kayamkulam 	Kayamkulam 	0479-2447274 	125	U 	thqhkayamkulam@gmail.com 	Alappuzha 	Taluk Headquarters Hospital	THH
THH Pampady 	Pampady 	0481-2507866 	225	R 	thqhpampady@gmail.com 	Kottayam 	Taluk Headquarters Hospital	THH
THH Kuravilangadu 	Kuravilangadu 	0482-2231616 	54	R 	thkvld@gmail.com 	Kottayam 	Taluk Headquarters Hospital	THH
THH Vaikom 	Vaikom 	04829-231261 	272	U 	thqhvaikom41@gmail.com 	Kottayam 	Taluk Headquarters Hospital	THH
THH Peerumade 	Peerumade 	04869-232424 	54	R 	thqhpeermade@yahoo.in 	Idukki	Taluk Headquarters Hospital	THH
THH Adimaly 	Adimaly 	04864-222680 	100	R 	chcadimali@yahoo.com 	Idukki	Taluk Headquarters Hospital	THH
THH Nedumkandam 	Nedumkandam 	04868-232650 	106	R 	suptchc@yahoo.com 	Idukki	Taluk Headquarters Hospital	THH
THH Kattappana 	Kattappana 	04868-251711 	30	U 	phckattappana@gmail.com 	Idukki	Taluk Headquarters Hospital	THH
THH Kochi 	Kochi 	0484-2216444 	240	U 	thqhkochi@gmail.com 	Ernakulam 	Taluk Headquarters Hospital	THH
THH Thrippunithura 	Thrippunithura 	0484-2777315 	146	U 	thqhtpra@gmail.com 	Ernakulam 	Taluk Headquarters Hospital	THH
THH Perumbavoor 	Perumbavoor 	0484-2972631 	216	U 	thqhpbvr@gmail.com 	Ernakulam 	Taluk Headquarters Hospital	THH
THH North Paravur 	North Paravur 	0484-2442365 	155	U 	thqhnparur@yahoo.co.in 	Ernakulam 	Taluk Headquarters Hospital	THH
THH Kothamangalam 	Kothamangalam 	0485-2822603 	173	U 	chckothamangalam@gmail.com 	Ernakulam 	Taluk Headquarters Hospital	THH
THH Chavakkad 	Chavakkad 	0487-2501110 	140	U 	govthoscvd@gmail.com 	Thrissur 	Taluk Headquarters Hospital	THH
THH Kodungalloor 	Kodungalloor 	0480-2802394 	176	U 	thqhkodungallur@gmail.com 	Thrissur 	Taluk Headquarters Hospital	THH
THH Chalakkudy 	Chalakkudy 	0480-2701823 	144	U 	thqhsuperintendent@yahoo.com,ppuni tchalakudy@gmail.com 	Thrissur 	Taluk Headquarters Hospital	THH
THH Alathoor 	Alathoor 	04922-222322 	154	R 	chcalathur@gmail.com 	Palakkad	Taluk Headquarters Hospital	THH
THH Chittur 	Chittur 	04923-222385 	112	U 	ghchittur@gmail.com 	Palakkad	Taluk Headquarters Hospital	THH
THH Ottappalam 	Ottappalam 	0466-2244480 	173	U 	thqhottapalam@gmail.com 	Palakkad	Taluk Headquarters Hospital	THH
THH Mannarkkad 	Mannarkkad 	04924-222380 	123	U 	thqhmannarkkad@gmail.com 	Palakkad	Taluk Headquarters Hospital	THH
THH Pattambi 	Pattambi 	0466-2213769 	76	U 	gthpattambi@gmail.com 	Palakkad	Taluk Headquarters Hospital	THH
THH Ponnani 	Ponnani 	0494-2663089 	125	U 	officethqhponnani@gmail.com 	Malappuram	Taluk Headquarters Hospital	THH
THH Thirurangadi 	Thirurangadi 	0494-2460372 	157	U 	thqhtirurangadi@gmail.com 	Malappuram	Taluk Headquarters Hospital	THH
THH Malappuram 	Malappuram 	0483-2734866 	116	U 	supdtthqhmpm@gmail.com 	Malappuram	Taluk Headquarters Hospital	THH
THH Kondotty 	Kondotty 	0483-2710586 	24	U 	mophckondotty@gmail.com 	Malappuram	Taluk Headquarters Hospital	THH
THH Koilandy 	Koilandy 	0496-2960241 	159	U 	talukhospitalkoyilandy 	Kozhikode 	Taluk Headquarters Hospital	THH
THH Sulthan Bathery 	Sulthan Bathery 	04936-221136 	57	U 	thqh.bathery@gmail.com 	Wayanad	Taluk Headquarters Hospital	THH
THH Vythiri 	Vythiri 	04936-255228 	129	R 	thqh.vythiri@gmail.com 	Wayanad	Taluk Headquarters Hospital	THH
THH Thaliparamba	Thaliparamba,KNR 	0460-2203298 	171	U 	thqhtpba@gmail.com 	Kannur	Taluk Headquarters Hospital	THH
THH Poodamkallu (Panathady) 	Poodamkallu (Panathady) 	0467-2224737 	35	R 	thpanathady@gmail.com 	Kasaragod 	Taluk Headquarters Hospital	THH
THH Mangalpady 	Mangalpady 	04998-242098 	24	R 	thmangalpady@gmailcom 	Kasaragod 	Taluk Headquarters Hospital	THH
THH Bedadka 	Bedadka 	04994-211015 	24	R 	chcbedadka@gmail.com 	Kasaragod 	Taluk Headquarters Hospital	THH
THH Nileshwar 	Nileshwar 	0467-2282933 	42	U 	chcnileshwar@gmail.com 	Kasaragod 	Taluk Headquarters Hospital	THH
TH Fort 	Fort 	0471-2471766 	76	U 	thforttvm@gmail.com 	Thiruvananthapuram 	Taluk Hospital	TH
TH Varkala 	Varkala 	0470-2602549 	64	U 	thqvarkala@gmail.com 	Thiruvananthapuram 	Taluk Hospital	TH
TH Nemom 	Nemom 	0471-2390276 	61	U 	chcnemom@gmail.com 	Thiruvananthapuram 	Taluk Hospital	TH
TH Attingal 	Attingal 	0470-2622447 	60	U 	thattingal@gmail.com 	Thiruvananthapuram 	Taluk Hospital	TH
TH Vithura 	Vithura 	0472-2856252 	65	R 	chcvithura@yahoo.in 	Thiruvananthapuram 	Taluk Hospital	TH
TH Nedungolam 	Nedungolam 	0474-2512324 	66	U 	chcnedungolam@gmail.com 	Kollam 	Taluk Hospital	TH
TH Kundara 	Kundara 	0474-2526949 	42	R 	kundarachc@gmail.com 	Kollam 	Taluk Hospital	TH
TH Neendakara 	Neendakara 	0476-2680227 	60	R 	chcneendakara@gmail.com 	Kollam 	Taluk Hospital	TH
TH Kadakkal 	Kadakkal 	0474-2423301 	101	R 	thkadakkal@gmail.com 	Kollam 	Taluk Hospital	TH
TH Thuravoor 	Thuravoor 	0478-2562490 	24	R 	thuravoorchc@yahoo.in 	Alappuzha 	Taluk Hospital	TH
TH Njarkkal 	Njarkkal 	0484-2494156 	71	R 	chcnjarakkal@gmail.com 	Ernakulam 	Taluk Hospital	TH
TH Karivelpadi 	Karivelpadi 	0484-2210648 	220	U 	gmhkaruvelippady@gmail.com 	Ernakulam 	Taluk Hospital	TH
TH Angamaly 	Angamaly 	0484-2455950 	41	U 	chcangamaly@gmail.com 	Ernakulam 	Taluk Hospital	TH
TH Puthenvelikkara 	Puthenvelikkara 	0484-2487259 	48	R 	chcputhenvelikkara@gmail.com 	Ernakulam 	Taluk Hospital	TH
TH Piravom 	Piravom 	0485-2243923 	93	U 	chcpiravom@gmail.com 	Ernakulam 	Taluk Hospital	TH
TH Palluruthy 	Palluruthy 	0484-2235780 	50	U 	ghpalluruthy@gmail.com 	Ernakulam 	Taluk Hospital	TH
TH Chelakkara 	Chelakkara 	04880-252778 	32	R 	chcchelakkara2010@gmail.com 	Thrissur 	Taluk Hospital	TH
TH Pudukkad 	Pudukkad 	0480-2751232 	75	R 	chcpudukad@gmail.com 	Thrissur 	Taluk Hospital	TH
TH Kunnamkulam 	Kunnamkulam 	04885-222233 	124	U 	talukhospitalkkm@gmail.com 	Thrissur 	Taluk Hospital	TH
TH Elappully 	Elappully 	0491-2584431 	34	R 	chcelappully@gmail.com 	Palakkad	Taluk Hospital	TH
TH Areacode 	Areacode 	0483-2851700 	35	R 	chcakd@gmail.com 	Malappuram	Taluk Hospital	TH
TH Kuttippuram 	Kuttippuram 	0494-2608282 	22	R 	mophckuttippuram@gmail.com 	Malappuram	Taluk Hospital	TH
TH Wandoor 	Wandoor 	04931-247378 	42	R 	chcwandoor@gmail.com 	Malappuram	Taluk Hospital	TH
TH Feroke 	Feroke 	0495-2482513 	24	U 	mophcferoke@gmail.com 	Kozhikode 	Taluk Hospital	TH
TH Kuttiyadi 	Kuttiyadi 	0496-2597173 	104	R 	thkuttiady@gmail.com 	Kozhikode 	Taluk Hospital	TH
TH Nadapuram 	Nadapuram 	0496-2552480 	110	R 	thnadapuramp@gmail.com 	Kozhikode 	Taluk Hospital	TH
TH Thamarassery 	Thamarassery 	0495-2222830 	64	R 	gthtsy@gmail.com 	Kozhikode 	Taluk Hospital	TH
TH Perambra 	Perambra 	0496-2610575 	38	R 	talukhospitalperambra@gmail.com 	Kozhikode 	Taluk Hospital	TH
TH Ballusery 	Ballusery 	0496-2963150 	75	R 	chcbalussery@gmail.com 	Kozhikode 	Taluk Hospital	TH
TH Koothuparamb a 	Koothuparamb a 	0490-2364150 	153	U 	ghkoothuparamba@gmail.com 	Kannur	Taluk Hospital	TH
TH Payyangadi 	Payyangadi 	0497-2870211 	26	R 	chcpayangadi@gmail.com 	Kannur	Taluk Hospital	TH
TH Peringome 	Peringome 	0498-5236215 	24	R 	bphcperingome@gmail.com 	Kannur	Taluk Hospital	TH
TH Iritty 	Iritty 	0490-2493180 	48	U 	mochciritty@gmail.com 	Kannur	Taluk Hospital	TH
TH Irikkur 	Irikkur 	0460-2297333 	22	R 	phcirikkur@gmail.com 	Kannur	Taluk Hospital	TH
TH Panoor 	Panoor 	0490-2311355 	50	U 	chcpanoor@gmail.com 	Kannur	Taluk Hospital	TH
TH Payyannur 	Payyannur 	0498-5205716 	150	U 	thpayyanur@gmail.com 	Kannur	Taluk Hospital	TH
TH Peravoor 	Peravoor 	0490-2444355 	100	R 	thperavoor@gmail.com 	Kannur	Taluk Hospital	TH
TH Thrikaripur 	Thrikaripur 	0467-2211100 	42	R 	ththrikaripur@gmail.com 	Kasaragod 	Taluk Hospital	TH
CHC Iranimuttom 	Iranimuttom 	0471-2455620 	89	U 	mo.chc.iranimuttam@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Palode 	Palode 	0472-2840561 	31	R 	chcpalode@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Kallara SCP 	Kallara SCP 	0472-2860857 	32	R 	chckallara@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Vakkom 	Vakkom 	0470-2653862 	24	R 	movakkom@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Poovar 	Poovar 	0471-2210017 	16	R 	chcpoovar@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Manamboor 	Manamboor 	0470-2688354 	24	R 	chcmanamboor@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Perumkadavila 	Perumkadavila 	0471-2276169 	12	R 	chcperumkadavila@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Vellanadu 	Vellanadu 	0472-2882199 	22	R 	vellanadchc@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Vizhinjam 	Vizhinjam 	0471-2480400 	42	R 	chcvizhinjam@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Vellarada 	Vellarada 	0471-2242075 	40	R 	chcvellarada@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Puthenthopu 	Puthenthopu 	0471-2750023 	24	R 	chcputhenthope@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Kanyakulangara 	Kanyakulangara 	0472-2832209 	12	R 	chckanyakulangara1@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Pulluvilla 	Pulluvilla 	0471-2260348 	8	R 	pvlachc10@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Kesavapuram 	Kesavapuram 	0470-2672157 	52	R 	chcksvpm@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Pallickal 	Pallickal 	0470-2681200 	20	R 	phcpallickal123@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Vilappil 	Vilappil 	0471-2289185 	16	R 	chcvilappil@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Aryanad 	Aryanad 	0472-2853833 	20	R 	aryanadchc@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Anchuthengu 	Anchuthengu 	0470-2656870 	30	R 	anchuthenguchc@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Venpakal 	Venpakal 	0471-2223594 	52	R 	chcvnta@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Andoorkonam 	Andoorkonam 	0471-2751397 	24	R 	phcandoorkonam@gmail.com 	Thiruvananthapuram 	Community Health Centre	CHC
CHC Nedumpana 	Nedumpana 	0474-2593313 	75	R 	www.chcnpna2011@gmail.com 	Kollam 	Community Health Centre	CHC
CHC Nedumancavu 	Nedumancavu 	0474-2499270 	16	R 	monedumonkavu@gmail.com 	Kollam 	Community Health Centre	CHC
CHC Kalakode 	Kalakode 	0474-2512144 	24	R 	chckalakkode@gmail.com 	Kollam 	Community Health Centre	CHC
CHC Anchal 	Anchal 	0475-2273560 	30	R 	anchalchc@gmail.com 	Kollam 	Community Health Centre	CHC
CHC Thrikkadavur 	Thrikkadavur 	0474-2706069 	16	U 	mochckadavoor@gmail.com 	Kollam 	Community Health Centre	CHC
CHC Sooranadu 	Sooranadu 	0476-2851352 	16	R 	chcsooranadu@gmail.com 	Kollam 	Community Health Centre	CHC
CHC Mynagapally 	Mynagapally 	0476-2876511 	24	R 	chcmynagappally@gmail.com 	Kollam 	Community Health Centre	CHC
CHC Kulakkada 	Kulakkada 	0474-2615058 	24	R 	kulakkadachc@gmail.com 	Kollam 	Community Health Centre	CHC
CHC Oachira 	Oachira 	0476-2690226 	12	R 	chcoachira@gmail.com 	Kollam 	Community Health Centre	CHC
CHC Nilamel 	Nilamel 	0474-2433990 	12	R 	chcnilamel@gmail.com 	Kollam 	Community Health Centre	CHC
CHC Velinalloor 	Velinalloor 	0474-2467167 	34	R 	chcvelinalloor@gmail.com 	Kollam 	Community Health Centre	CHC
CHC Kallooppara 	Kallooppara 	0469-2678752 	32	R 	chckallooppara@gmail.com 	Pathanamthitta 	Community Health Centre	CHC
CHC Kanjeetukara 	Kanjeetukara 	04735-231230 	30	R 	kanjeettukarachc@gmail.com 	Pathanamthitta 	Community Health Centre	CHC
CHC Enadimangalam 	Enadimangalam 	04734-247301 	24	R 	phcenadimangalam@gmail.com 	Pathanamthitta 	Community Health Centre	CHC
CHC Thumpamon 	Thumpamon 	04734-266609 	24	R 	chcthumpamon@gmail.com 	Pathanamthitta 	Community Health Centre	CHC
CHC Elanthoor 	Elanthoor 	0468-2360690 	24	R 	chcelanthoor@gmail.com 	Pathanamthitta 	Community Health Centre	CHC
CHC Chathenkery 	Chathenkery 	0469-2732655 	24	R 	chcchathenkary@gmail.com 	Pathanamthitta 	Community Health Centre	CHC
CHC Ranni Perunadu 	Ranni Perunadu 	04735-240478 	16	R 	chcrannyperunad@gmail.com 	Pathanamthitta 	Community Health Centre	CHC
CHC Thycattussery 	Thycattussery 	0478-2532694 	52	R 	chctsy@gmail.com 	Alappuzha 	Community Health Centre	CHC
CHC Champakkulam 	Champakkulam 	0477-2737587 	51	R 	chcchampakulam@gmail.com 	Alappuzha 	Community Health Centre	CHC
CHC Muhamma 	Muhamma 	0478-2865296 	23	R 	mochcmuhamma@gmail.com 	Alappuzha 	Community Health Centre	CHC
CHC Thannermukkam 	Thannermukkam 	0478-2584404 	24	R 	motkmchc@gmail.com 	Alappuzha 	Community Health Centre	CHC
CHC Ambalpuzha 	Ambalpuzha 	0477-2272129 	12	R 	chcambalappuzha@gmail.com 	Alappuzha 	Community Health Centre	CHC
CHC Chunakkara 	Chunakkara 	0479-2382305 	16	R 	chcchunakkara@gmail.com 	Alappuzha 	Community Health Centre	CHC
CHC Kurathicadu 	Kurathicadu 	0479-2328476 	24	R 	chckurathikad@gmail.com 	Alappuzha 	Community Health Centre	CHC
CHC Muthukulam 	Muthukulam 	0479-2472193 	24	R 	chcmuthukulam@gmail.com 	Alappuzha 	Community Health Centre	CHC
CHC Veliyanad 	Veliyanad 	0477-2753238 	30	R 	chcveliyanadu@gmail.com 	Alappuzha 	Community Health Centre	CHC
CHC Chempumpuram 	Chempumpuram 	0477-2736318 	12	R 	chcchempumpuram@gmail.com 	Alappuzha 	Community Health Centre	CHC
CHC Edathuva 	Edathuva 	0477-2210750 	36	R 	chcedathua@gmail.com 	Alappuzha 	Community Health Centre	CHC
CHC Pandanadu 	Pandanadu 	0479-2466678 	24	R 	chcpandanad@gmail.com 	Alappuzha 	Community Health Centre	CHC
CHC Mannar 	Mannar 	0479-2313920 	24	R 	moicmannar@gmail.com 	Alappuzha 	Community Health Centre	CHC
CHC Thrikkunnapuzha 	Thrikkunnapuzha 	0479-2482097 	18	R 	thrikkunnappuzhachc@gmail. com 	Alappuzha 	Community Health Centre	CHC
CHC Arookutty 	Arookutty 	0478-2872931 	28	R 	chcarookutty@gmail.com 	Alappuzha 	Community Health Centre	CHC
CHC Sachivothampuram 	Sachivothampuram 	0481-2431700 	54	R 	chcspuram@gmail.com 	Kottayam 	Community Health Centre	CHC
CHC Kumarakam 	Kumarakam 	0481-2524310 	50	R 	chckumarakom@gmail.com 	Kottayam 	Community Health Centre	CHC
CHC Ullanadu 	Ullanadu 	04822-247343 	24	R 	mochcullanadu@gmail.com 	Kottayam 	Community Health Centre	CHC
CHC Edayazham 	Edayazham 	04829-276068 	24	R 	moedayazham@gmail.com 	Kottayam 	Community Health Centre	CHC
CHC Edayirikkapuzha 	Edayirikkapuzha 	0481-2494332 	24	R 	chcepuzha@gmail.com 	Kottayam 	Community Health Centre	CHC
CHC Edamaruku 	Edamaruku 	04822-220101 	24	R 	chcedamaruku@gmail.com 	Kottayam 	Community Health Centre	CHC
CHC Erumely 	Erumely 	04828-210454 	30	R 	chcerumely@gmail.com 	Kottayam 	Community Health Centre	CHC
CHC Koodalloor 	Koodalloor 	04822-254110 	32	R 	phckoodalloor@gmail.com 	Kottayam 	Community Health Centre	CHC
CHC Thalayolaparambu 	Thalayolaparambu 	04829-237403 	30	R 	phcthalayolaparambu@gmail.com 	Kottayam 	Community Health Centre	CHC
CHC Paika 	Paika 	04822-225347 	46	R 	chcpaika@gmail.com 	Kottayam 	Community Health Centre	CHC
CHC Vakathanam 	Vakathanam 	0481-2461889 	24	R 	vakathanamphc@gmail.com 	Kottayam 	Community Health Centre	CHC
CHC Ayarkunnam 	Ayarkunnam 	0481-2545950 	0	R 	phcayarkunnam@gmail.com 	Kottayam 	Community Health Centre	CHC
CHC Thalappady 	Thalappady 	Nil 	50	R 	chcthalappady@gmail.com 	Kottayam 	Community Health Centre	CHC
CHC Chithirapuram 	Chithirapuram 	04865-263252 	34	R 	phc.chithirapuram@gmail.com 	Idukki	Community Health Centre	CHC
CHC Marayoor 	Marayoor 	04865-252372 	24	R 	chcmarayoor@gmail.com 	Idukki	Community Health Centre	CHC
CHC Rajakkadu 	Rajakkadu 	04868-241529 	0	R 	mochcrajakad@gmail.com 	Idukki	Community Health Centre	CHC
CHC Purapuzha 	Purapuzha 	04862-273424 	6	R 	chcpurapuzha@gmail.com 	Idukki	Community Health Centre	CHC
CHC Upputhara 	Upputhara 	04869-244019 	30	R 	chcupputhara@gmail.com 	Idukki	Community Health Centre	CHC
CHC Vandanmedu 	Vandanmedu 	04868-277302 	44	R 	chcvandanmedu@gmail.com 	Idukki	Community Health Centre	CHC
CHC Vandiperiyar 	Vandiperiyar 	04869-253456 	14	R 	chcvandiperiyar@gmail.com 	Idukki	Community Health Centre	CHC
CHC Kanjikuzhy 	Kanjikuzhy 	04862-238411 	20	R 	chckanjikuzhyidukki@gmail.com 	Idukki	Community Health Centre	CHC
CHC Moothakunnam 	Moothakunnam 	0484-2483055 	68	R 	chcmoothakunnam.ekm@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Mulanthuruthy 	Mulanthuruthy 	0484-2740239 	32	R 	chcmulanthuruthy@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Koothattukulam 	Koothattukulam 	0485-2253089 	90	U 	mochckoothattukulam@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Malipuram 	Malipuram 	0484-2492656 	31	R 	chcmalippuram@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Malayidamthuruthu	Malayidamthuruthu	0484-2680499 	24	R 	malayidamthuruthchc@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Vengola 	Vengola 	0484-2590001 	40	R 	chcvengola@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Keechery 	Keechery 	0484-2746064 	24	R 	chckeechery@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Vengoor 	Vengoor 	0484-2645150 	30	R 	phcvengoor@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Varapetty 	Varapetty 	0485-2284217 	24	R 	varapettyphc@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Pampakuda 	Pampakuda 	0485-2272300 	16	R 	mobphcpampakuda@gmail.com 	Ernakulam 	Community Health Centre	CHC
