Name	Place	Type	Phone Number 	Sanctioned bed 	Rural/Urban 	email-id 	District
THH Poodamkallu (Panathady) 	Poodamkallu (Panathady) 	Taluk Headquarters Hospital	0467-2224737 	35	R 	thpanathady@gmail.com 	Kasaragod 
THH Mangalpady 	Mangalpady 	Taluk Headquarters Hospital	04998-242098 	24	R 	thmangalpady@gmailcom 	Kasaragod 
THH Bedadka 	Bedadka 	Taluk Headquarters Hospital	04994-211015 	24	R 	chcbedadka@gmail.com 	Kasaragod 
THH Nileshwar 	Nileshwar 	Taluk Headquarters Hospital	0467-2282933 	42	U 	chcnileshwar@gmail.com 	Kasaragod 
TH Fort 	Fort 	Taluk Hospital	0471-2471766 	76	U 	thforttvm@gmail.com 	Thiruvananthapuram 
TH Varkala 	Varkala 	Taluk Hospital	0470-2602549 	64	U 	thqvarkala@gmail.com 	Thiruvananthapuram 
TH Nemom 	Nemom 	Taluk Hospital	0471-2390276 	61	U 	chcnemom@gmail.com 	Thiruvananthapuram 
TH Attingal 	Attingal 	Taluk Hospital	0470-2622447 	60	U 	thattingal@gmail.com 	Thiruvananthapuram 
TH Vithura 	Vithura 	Taluk Hospital	0472-2856252 	65	R 	chcvithura@yahoo.in 	Thiruvananthapuram 
TH Nedungolam 	Nedungolam 	Taluk Hospital	0474-2512324 	66	U 	chcnedungolam@gmail.com 	Kollam 
TH Kundara 	Kundara 	Taluk Hospital	0474-2526949 	42	R 	kundarachc@gmail.com 	Kollam 
TH Neendakara 	Neendakara 	Taluk Hospital	0476-2680227 	60	R 	chcneendakara@gmail.com 	Kollam 
TH Kadakkal 	Kadakkal 	Taluk Hospital	0474-2423301 	101	R 	thkadakkal@gmail.com 	Kollam 
TH Thuravoor 	Thuravoor 	Taluk Hospital	0478-2562490 	24	R 	thuravoorchc@yahoo.in 	Alappuzha 
TH Njarkkal 	Njarkkal 	Taluk Hospital	0484-2494156 	71	R 	chcnjarakkal@gmail.com 	Ernakulam 
TH Karivelpadi 	Karivelpadi 	Taluk Hospital	0484-2210648 	220	U 	gmhkaruvelippady@gmail.com 	Ernakulam 
TH Angamaly 	Angamaly 	Taluk Hospital	0484-2455950 	41	U 	chcangamaly@gmail.com 	Ernakulam 
TH Puthenvelikkara 	Puthenvelikkara 	Taluk Hospital	0484-2487259 	48	R 	chcputhenvelikkara@gmail.com 	Ernakulam 
TH Piravom 	Piravom 	Taluk Hospital	0485-2243923 	93	U 	chcpiravom@gmail.com 	Ernakulam 
TH Palluruthy 	Palluruthy 	Taluk Hospital	0484-2235780 	50	U 	ghpalluruthy@gmail.com 	Ernakulam 
TH Chelakkara 	Chelakkara 	Taluk Hospital	04880-252778 	32	R 	chcchelakkara2010@gmail.com 	Thrissur 
TH Pudukkad 	Pudukkad 	Taluk Hospital	0480-2751232 	75	R 	chcpudukad@gmail.com 	Thrissur 
TH Kunnamkulam 	Kunnamkulam 	Taluk Hospital	04885-222233 	124	U 	talukhospitalkkm@gmail.com 	Thrissur 
TH Elappully 	Elappully 	Taluk Hospital	0491-2584431 	34	R 	chcelappully@gmail.com 	Palakkad
TH Areacode 	Areacode 	Taluk Hospital	0483-2851700 	35	R 	chcakd@gmail.com 	Malappuram
TH Kuttippuram 	Kuttippuram 	Taluk Hospital	0494-2608282 	22	R 	mophckuttippuram@gmail.com 	Malappuram
TH Wandoor 	Wandoor 	Taluk Hospital	04931-247378 	42	R 	chcwandoor@gmail.com 	Malappuram
TH Feroke 	Feroke 	Taluk Hospital	0495-2482513 	24	U 	mophcferoke@gmail.com 	Kozhikode 
TH Kuttiyadi 	Kuttiyadi 	Taluk Hospital	0496-2597173 	104	R 	thkuttiady@gmail.com 	Kozhikode 
TH Nadapuram 	Nadapuram 	Taluk Hospital	0496-2552480 	110	R 	thnadapuramp@gmail.com 	Kozhikode 
TH Thamarassery 	Thamarassery 	Taluk Hospital	0495-2222830 	64	R 	gthtsy@gmail.com 	Kozhikode 
TH Perambra 	Perambra 	Taluk Hospital	0496-2610575 	38	R 	talukhospitalperambra@gmail.com 	Kozhikode 
TH Ballusery 	Ballusery 	Taluk Hospital	0496-2963150 	75	R 	chcbalussery@gmail.com 	Kozhikode 
TH Koothuparamb a 	Koothuparamb a 	Taluk Hospital	0490-2364150 	153	U 	ghkoothuparamba@gmail.com 	Kannur
TH Payyangadi 	Payyangadi 	Taluk Hospital	0497-2870211 	26	R 	chcpayangadi@gmail.com 	Kannur
TH Peringome 	Peringome 	Taluk Hospital	0498-5236215 	24	R 	bphcperingome@gmail.com 	Kannur
TH Iritty 	Iritty 	Taluk Hospital	0490-2493180 	48	U 	mochciritty@gmail.com 	Kannur
TH Irikkur 	Irikkur 	Taluk Hospital	0460-2297333 	22	R 	phcirikkur@gmail.com 	Kannur
TH Panoor 	Panoor 	Taluk Hospital	0490-2311355 	50	U 	chcpanoor@gmail.com 	Kannur
TH Payyannur 	Payyannur 	Taluk Hospital	0498-5205716 	150	U 	thpayyanur@gmail.com 	Kannur
TH Peravoor 	Peravoor 	Taluk Hospital	0490-2444355 	100	R 	thperavoor@gmail.com 	Kannur
TH Thrikaripur 	Thrikaripur 	Taluk Hospital	0467-2211100 	42	R 	ththrikaripur@gmail.com 	Kasaragod 
CHC Iranimuttom 	Iranimuttom 	Community Health Centre	0471-2455620 	89	U 	mo.chc.iranimuttam@gmail.com 	Thiruvananthapuram 
CHC Palode 	Palode 	Community Health Centre	0472-2840561 	31	R 	chcpalode@gmail.com 	Thiruvananthapuram 
CHC Kallara SCP 	Kallara SCP 	Community Health Centre	0472-2860857 	32	R 	chckallara@gmail.com 	Thiruvananthapuram 
CHC Vakkom 	Vakkom 	Community Health Centre	0470-2653862 	24	R 	movakkom@gmail.com 	Thiruvananthapuram 
CHC Poovar 	Poovar 	Community Health Centre	0471-2210017 	16	R 	chcpoovar@gmail.com 	Thiruvananthapuram 
CHC Manamboor 	Manamboor 	Community Health Centre	0470-2688354 	24	R 	chcmanamboor@gmail.com 	Thiruvananthapuram 
CHC Perumkadavila 	Perumkadavila 	Community Health Centre	0471-2276169 	12	R 	chcperumkadavila@gmail.com 	Thiruvananthapuram 
CHC Vellanadu 	Vellanadu 	Community Health Centre	0472-2882199 	22	R 	vellanadchc@gmail.com 	Thiruvananthapuram 
CHC Vizhinjam 	Vizhinjam 	Community Health Centre	0471-2480400 	42	R 	chcvizhinjam@gmail.com 	Thiruvananthapuram 
CHC Vellarada 	Vellarada 	Community Health Centre	0471-2242075 	40	R 	chcvellarada@gmail.com 	Thiruvananthapuram 
CHC Puthenthopu 	Puthenthopu 	Community Health Centre	0471-2750023 	24	R 	chcputhenthope@gmail.com 	Thiruvananthapuram 
CHC Kanyakulangara 	Kanyakulangara 	Community Health Centre	0472-2832209 	12	R 	chckanyakulangara1@gmail.com 	Thiruvananthapuram 
CHC Pulluvilla 	Pulluvilla 	Community Health Centre	0471-2260348 	8	R 	pvlachc10@gmail.com 	Thiruvananthapuram 
CHC Kesavapuram 	Kesavapuram 	Community Health Centre	0470-2672157 	52	R 	chcksvpm@gmail.com 	Thiruvananthapuram 
CHC Pallickal 	Pallickal 	Community Health Centre	0470-2681200 	20	R 	phcpallickal123@gmail.com 	Thiruvananthapuram 
CHC Vilappil 	Vilappil 	Community Health Centre	0471-2289185 	16	R 	chcvilappil@gmail.com 	Thiruvananthapuram 
CHC Aryanad 	Aryanad 	Community Health Centre	0472-2853833 	20	R 	aryanadchc@gmail.com 	Thiruvananthapuram 
CHC Anchuthengu 	Anchuthengu 	Community Health Centre	0470-2656870 	30	R 	anchuthenguchc@gmail.com 	Thiruvananthapuram 
CHC Venpakal 	Venpakal 	Community Health Centre	0471-2223594 	52	R 	chcvnta@gmail.com 	Thiruvananthapuram 
CHC Andoorkonam 	Andoorkonam 	Community Health Centre	0471-2751397 	24	R 	phcandoorkonam@gmail.com 	Thiruvananthapuram 
CHC Nedumpana 	Nedumpana 	Community Health Centre	0474-2593313 	75	R 	www.chcnpna2011@gmail.com 	Kollam 
CHC Nedumancavu 	Nedumancavu 	Community Health Centre	0474-2499270 	16	R 	monedumonkavu@gmail.com 	Kollam 
CHC Kalakode 	Kalakode 	Community Health Centre	0474-2512144 	24	R 	chckalakkode@gmail.com 	Kollam 
CHC Anchal 	Anchal 	Community Health Centre	0475-2273560 	30	R 	anchalchc@gmail.com 	Kollam 
CHC Thrikkadavur 	Thrikkadavur 	Community Health Centre	0474-2706069 	16	U 	mochckadavoor@gmail.com 	Kollam 
CHC Sooranadu 	Sooranadu 	Community Health Centre	0476-2851352 	16	R 	chcsooranadu@gmail.com 	Kollam 
CHC Mynagapally 	Mynagapally 	Community Health Centre	0476-2876511 	24	R 	chcmynagappally@gmail.com 	Kollam 
CHC Kulakkada 	Kulakkada 	Community Health Centre	0474-2615058 	24	R 	kulakkadachc@gmail.com 	Kollam 
CHC Oachira 	Oachira 	Community Health Centre	0476-2690226 	12	R 	chcoachira@gmail.com 	Kollam 
CHC Nilamel 	Nilamel 	Community Health Centre	0474-2433990 	12	R 	chcnilamel@gmail.com 	Kollam 
CHC Velinalloor 	Velinalloor 	Community Health Centre	0474-2467167 	34	R 	chcvelinalloor@gmail.com 	Kollam 
CHC Kallooppara 	Kallooppara 	Community Health Centre	0469-2678752 	32	R 	chckallooppara@gmail.com 	Pathanamthitta 
CHC Kanjeetukara 	Kanjeetukara 	Community Health Centre	04735-231230 	30	R 	kanjeettukarachc@gmail.com 	Pathanamthitta 
CHC Enadimangalam 	Enadimangalam 	Community Health Centre	04734-247301 	24	R 	phcenadimangalam@gmail.com 	Pathanamthitta 
CHC Thumpamon 	Thumpamon 	Community Health Centre	04734-266609 	24	R 	chcthumpamon@gmail.com 	Pathanamthitta 
CHC Elanthoor 	Elanthoor 	Community Health Centre	0468-2360690 	24	R 	chcelanthoor@gmail.com 	Pathanamthitta 
CHC Chathenkery 	Chathenkery 	Community Health Centre	0469-2732655 	24	R 	chcchathenkary@gmail.com 	Pathanamthitta 
CHC Ranni Perunadu 	Ranni Perunadu 	Community Health Centre	04735-240478 	16	R 	chcrannyperunad@gmail.com 	Pathanamthitta 
CHC Thycattussery 	Thycattussery 	Community Health Centre	0478-2532694 	52	R 	chctsy@gmail.com 	Alappuzha 
CHC Champakkulam 	Champakkulam 	Community Health Centre	0477-2737587 	51	R 	chcchampakulam@gmail.com 	Alappuzha 
CHC Muhamma 	Muhamma 	Community Health Centre	0478-2865296 	23	R 	mochcmuhamma@gmail.com 	Alappuzha 
CHC Thannermukkam 	Thannermukkam 	Community Health Centre	0478-2584404 	24	R 	motkmchc@gmail.com 	Alappuzha 
CHC Ambalpuzha 	Ambalpuzha 	Community Health Centre	0477-2272129 	12	R 	chcambalappuzha@gmail.com 	Alappuzha 
CHC Chunakkara 	Chunakkara 	Community Health Centre	0479-2382305 	16	R 	chcchunakkara@gmail.com 	Alappuzha 
CHC Kurathicadu 	Kurathicadu 	Community Health Centre	0479-2328476 	24	R 	chckurathikad@gmail.com 	Alappuzha 
CHC Muthukulam 	Muthukulam 	Community Health Centre	0479-2472193 	24	R 	chcmuthukulam@gmail.com 	Alappuzha 
CHC Veliyanad 	Veliyanad 	Community Health Centre	0477-2753238 	30	R 	chcveliyanadu@gmail.com 	Alappuzha 
CHC Chempumpuram 	Chempumpuram 	Community Health Centre	0477-2736318 	12	R 	chcchempumpuram@gmail.com 	Alappuzha 
CHC Edathuva 	Edathuva 	Community Health Centre	0477-2210750 	36	R 	chcedathua@gmail.com 	Alappuzha 
CHC Pandanadu 	Pandanadu 	Community Health Centre	0479-2466678 	24	R 	chcpandanad@gmail.com 	Alappuzha 
CHC Mannar 	Mannar 	Community Health Centre	0479-2313920 	24	R 	moicmannar@gmail.com 	Alappuzha 
CHC Thrikkunnapuzha 	Thrikkunnapuzha 	Community Health Centre	0479-2482097 	18	R 	thrikkunnappuzhachc@gmail. com 	Alappuzha 
CHC Arookutty 	Arookutty 	Community Health Centre	0478-2872931 	28	R 	chcarookutty@gmail.com 	Alappuzha 
CHC Sachivothampuram 	Sachivothampuram 	Community Health Centre	0481-2431700 	54	R 	chcspuram@gmail.com 	Kottayam 
CHC Kumarakam 	Kumarakam 	Community Health Centre	0481-2524310 	50	R 	chckumarakom@gmail.com 	Kottayam 
CHC Ullanadu 	Ullanadu 	Community Health Centre	04822-247343 	24	R 	mochcullanadu@gmail.com 	Kottayam 
CHC Edayazham 	Edayazham 	Community Health Centre	04829-276068 	24	R 	moedayazham@gmail.com 	Kottayam 
CHC Edayirikkapuzha 	Edayirikkapuzha 	Community Health Centre	0481-2494332 	24	R 	chcepuzha@gmail.com 	Kottayam 
CHC Edamaruku 	Edamaruku 	Community Health Centre	04822-220101 	24	R 	chcedamaruku@gmail.com 	Kottayam 
CHC Erumely 	Erumely 	Community Health Centre	04828-210454 	30	R 	chcerumely@gmail.com 	Kottayam 
CHC Koodalloor 	Koodalloor 	Community Health Centre	04822-254110 	32	R 	phckoodalloor@gmail.com 	Kottayam 
CHC Thalayolaparambu 	Thalayolaparambu 	Community Health Centre	04829-237403 	30	R 	phcthalayolaparambu@gmail.com 	Kottayam 
CHC Paika 	Paika 	Community Health Centre	04822-225347 	46	R 	chcpaika@gmail.com 	Kottayam 
CHC Vakathanam 	Vakathanam 	Community Health Centre	0481-2461889 	24	R 	vakathanamphc@gmail.com 	Kottayam 
CHC Ayarkunnam 	Ayarkunnam 	Community Health Centre	0481-2545950 	0	R 	phcayarkunnam@gmail.com 	Kottayam 
CHC Thalappady 	Thalappady 	Community Health Centre	Nil 	50	R 	chcthalappady@gmail.com 	Kottayam 
CHC Chithirapuram 	Chithirapuram 	Community Health Centre	04865-263252 	34	R 	phc.chithirapuram@gmail.com 	Idukki
CHC Marayoor 	Marayoor 	Community Health Centre	04865-252372 	24	R 	chcmarayoor@gmail.com 	Idukki
CHC Rajakkadu 	Rajakkadu 	Community Health Centre	04868-241529 	0	R 	mochcrajakad@gmail.com 	Idukki
CHC Purapuzha 	Purapuzha 	Community Health Centre	04862-273424 	6	R 	chcpurapuzha@gmail.com 	Idukki
CHC Upputhara 	Upputhara 	Community Health Centre	04869-244019 	30	R 	chcupputhara@gmail.com 	Idukki
CHC Vandanmedu 	Vandanmedu 	Community Health Centre	04868-277302 	44	R 	chcvandanmedu@gmail.com 	Idukki
CHC Vandiperiyar 	Vandiperiyar 	Community Health Centre	04869-253456 	14	R 	chcvandiperiyar@gmail.com 	Idukki
CHC Kanjikuzhy 	Kanjikuzhy 	Community Health Centre	04862-238411 	20	R 	chckanjikuzhyidukki@gmail.com 	Idukki
CHC Moothakunnam 	Moothakunnam 	Community Health Centre	0484-2483055 	68	R 	chcmoothakunnam.ekm@gmail.com 	Ernakulam 
CHC Mulanthuruthy 	Mulanthuruthy 	Community Health Centre	0484-2740239 	32	R 	chcmulanthuruthy@gmail.com 	Ernakulam 
CHC Koothattukulam 	Koothattukulam 	Community Health Centre	0485-2253089 	90	U 	mochckoothattukulam@gmail.com 	Ernakulam 
CHC Malipuram 	Malipuram 	Community Health Centre	0484-2492656 	31	R 	chcmalippuram@gmail.com 	Ernakulam 
CHC Malayidamthuruthu	Malayidamthuruthu	Community Health Centre	0484-2680499 	24	R 	malayidamthuruthchc@gmail.com 	Ernakulam 
CHC Vengola 	Vengola 	Community Health Centre	0484-2590001 	40	R 	chcvengola@gmail.com 	Ernakulam 
CHC Keechery 	Keechery 	Community Health Centre	0484-2746064 	24	R 	chckeechery@gmail.com 	Ernakulam 
CHC Vengoor 	Vengoor 	Community Health Centre	0484-2645150 	30	R 	phcvengoor@gmail.com 	Ernakulam 
CHC Varapetty 	Varapetty 	Community Health Centre	0485-2284217 	24	R 	varapettyphc@gmail.com 	Ernakulam 
CHC Pampakuda 	Pampakuda 	Community Health Centre	0485-2272300 	16	R 	mobphcpampakuda@gmail.com 	Ernakulam 
CHC Ezhikkara 	Ezhikkara 	Community Health Centre	0484-2508258 	6	R 	mochcezhikkara@gmail.com 	Ernakulam 
CHC Palarimangalam 	Palarimangalam 	Community Health Centre	0485-2564747 	24	R 	pallarimangalamphc@gmail.com 	Ernakulam 
CHC Kumbalangi 	Kumbalangi 	Community Health Centre	0484-2240472 	22	R 	chckumbalanghy@gmail.com 	Ernakulam 
CHC Varapuzha 	Varapuzha 	Community Health Centre	0484-2512520 	12	R 	chcvarapuzha@gmail.com 	Ernakulam 
CHC Pandappilly 	Pandappilly 	Community Health Centre	0485-2255451 	24	R 	bphcpandappilly@gmail.com 	Ernakulam 
CHC Chengamanad 	Chengamanad 	Community Health Centre	0484-2475344 	14	R 	chcchd@gmail.com 	Ernakulam 
CHC Kadayiruppu 	Kadayiruppu 	Community Health Centre	0484-2761537 	50	R 	phckadayiruppu@gmail.com 	Ernakulam 
CHC Vadavucode 	Vadavucode 	Community Health Centre	0484-2730251 	50	R 	vadavucodephc@gmail.com 	Ernakulam 
CHC Ramamangalam 	Ramamangalam 	Community Health Centre	0485-2277922 	60	R 	phcramamangalam@gmail.com 	Ernakulam 
CHC Kalady 	Kalady 	Community Health Centre	0484-2460163 	30	R 	chckalady@gmail.com 	Ernakulam 
CHC Poothotta 	Poothotta 	Community Health Centre	0484-2793019 	46	R 	gdpoothotta@yahoo.in 	Ernakulam 
